year,reclat,reclong,mass,clipped_prediction
1936,29.01667,-97.28333,46500.0,2170.036653188275
1936,34.6,-97.91667,68000.0,2515.1849477851556
1936,34.91667,-117.83333,223.0,2487.627698199036
1936,35.15,-102.71667,22600.0,2540.257850414033
1936,37.46667,-101.43333,2300.0,2704.763753241447
1936,38.71667,-103.51667,1104.0,2790.3425826137973
1936,39.13333,-103.48333,80.0,2821.4674261669616
1936,45.6,-110.58333,1600.0,3326.717081170565
1936,66.0,-120.0,40.0,5664.703653198701
1937,-33.3,117.66667,112500.0,491.49678238080435
1937,-33.1,-61.13333,5250.0,414.92084288759685
1937,31.05,-99.46667,927.0,2197.1665503591034
1937,34.0,-101.5,1700.0,2371.4453227392446
1937,37.83333,-100.45,226.0,2628.159254299185
1937,39.36667,-103.16667,4500.0,2730.0981198585027
1937,39.53333,-103.33333,17500.0,2741.757253717086
1937,40.95,-103.08333,11500.0,2847.519743063818
1937,51.88333,71.25,3055.0,4511.56937141017
1938,-30.63333,-64.88333,40000.0,424.33856582256806
1938,-28.91667,-66.95,49000.0,443.26589998038935
1938,32.9,-105.93333,13600.0,2204.605789903895
1938,33.5,-96.6,8630.0,2260.4855990612277
1938,35.76667,-102.95,17200.0,2385.8606913690846
1938,36.33333,-105.05,1000.0,2417.066959965111
1938,41.98,-120.54167,1169500.0,2765.834507042582
1938,47.58333,37.25,107000.0,3743.2133203204908
1939,35.23333,-100.6,4300.0,2266.5709773634358
1939,37.11667,-101.6,207.5,2380.4504782084964
1939,37.6,-105.83333,892.0,2401.2561623416896
1939,39.81667,-94.91667,566.0,2574.054588692204
1939,42.52,-82.26,47700.0,2799.906430106942
1939,57.63333,83.36667,1593.0,4914.734501791447
1940,-7.75,112.01667,3300.0,856.2569156474214
1940,22.25,79.0,691.0,1839.1769793783362
1940,32.01667,-98.7,19700.0,2004.3076764201755
1940,36.8,-100.53333,25628.0,2271.6314349077084
1940,37.2375,-92.78694,25900.0,2315.5965370095473
1940,38.8,-102.2,19083.0,2391.6096280166867
1940,38.85,-96.58333,4100.0,2407.9398464073747
1941,-29.91667,-60.28333,80000.0,385.8983774406261
1941,4.66667,29.25,3200.0,1055.9349135962748
1941,15.71667,108.1,11000.0,1529.288055627832
1941,40.51667,-101.03333,4500.0,2409.0957672374284
1941,41.23333,-103.3,261000.0,2449.945317787946
1941,45.5,-103.5,3075.0,2743.2204987309733
1942,-33.35,146.85833,26000.0,414.5392934027074
1942,10.01667,9.58333,357.0,1147.8462397971941
1942,30.95,-98.28333,513.3,1801.3343391594674
1942,37.28333,-102.2,2700.0,2123.04583158387
1942,66.34833,14.015,253.6,5143.186556172522
1943,-26.16667,28.41667,3880.0,429.66110179637377
1943,31.26667,-100.83333,3720.0,1741.9719326561678
1943,31.66,-96.97167,6200.0,1766.90166802859
1943,35.88333,-99.33333,51500.0,1972.008053503876
1943,40.75833,-102.375,860.0,2237.833045391385
1944,33.51667,-95.3,604.0,1787.3303608876736
1944,34.4,-106.85,7.7,1809.2459408051006
1945,-37.71667,-70.61667,19250.0,264.9954230144707
1945,27.12917,8.66722,72000.0,1604.972258498118
1946,34.33333,-98.3,28100.0,1683.0675529762752
1946,36.82444,-93.76111,55400.0,1806.129265532774
1946,53.2,-111.43333,3720.0,2741.9824526832062
1947,35.95,-84.56667,30000.0,1711.7335961225667
1947,46.16,134.65333,23000000.0,2779.7508394490133
1948,32.7,-101.6,4650.0,1484.6278336722737
1948,34.16722,-102.13361,953.0,1542.805862849631
1948,34.23333,72.08333,4500.0,1831.7861959120019
1948,42.83333,-74.5,639.5,1995.006513221394
1948,43.0,-107.16667,23410.0,1941.0159417621462
1949,-10.26667,38.76667,6000.0,522.6776625707251
1949,9.91667,13.98333,968.0,872.3110776129056
1949,39.6,-100.11667,3180.0,1716.6726197382272
1949,43.31667,-100.76667,12000.0,1893.510159677012
1949,45.76667,3.25,1300.0,2236.526774061999
1949,53.01667,-4.1,794.0,2691.818773728992
1949,53.7,79.5,418.0,2973.919638466848
1949,57.8,45.8,750.0,3208.6462590268425
1950,12.91667,11.91667,725.0,906.3021223613018
1950,27.33333,-112.33333,1631.0,1177.3917620453892
1950,29.5,-98.0,20.5,1264.6892955271217
1950,46.1,12.35,87.0,2188.512687723322
1951,-42.9,-71.33333,755000.0,181.87247688427965
1951,31.9,-96.4,50600.0,1297.816701582844
1951,36.45,-104.1,270.0,1453.5316362094545
1951,47.83333,37.66667,54640.0,2258.051669476575
1951,70.73333,-117.75,552.0,3563.781991159368
1953,-27.25,-67.5,31.0,255.97791860364185
1953,-15.0,135.0,6400.0,432.3101165345638
1953,39.61667,-100.46306,6760.0,1466.326675502638
1953,47.6,-94.76667,22390.0,1822.6443023109762
1954,19.22778,56.14278,1750000.0,955.637244573917
1954,34.95,-102.1175,13000.0,1243.3194164889578
1954,37.0,-105.0,40.7,1309.1957503076874
1954,44.33333,106.5,166800.0,1955.08934703649
1955,-28.08333,24.08333,38000.0,253.0012944785163
1955,20.0,50.0,490.0,932.1063094180304
1955,20.7,52.83333,11450.0,952.229804631163
1955,23.98611,32.62361,12000.0,1018.7915285437268
1955,31.58333,71.6,2950.0,1294.8796539192817
1955,32.58333,-82.01667,5130.0,1144.6529090422669
1956,-32.1,28.33333,3457.0,219.4100887614771
1956,37.325,-84.71667,1600.0,1244.77404732419
1956,39.36667,-100.63333,750.0,1293.8796073227927
1957,33.50667,-97.65139,26100.0,1067.6737307716055
1957,34.68333,-85.65,140000.0,1114.5426711395694
1957,39.4,-100.03333,6800.0,1245.673570272516
1958,19.91667,56.25,1132.0,831.2859446280023
1958,38.30667,-99.71,11000.0,1163.5954811504569
1960,-21.55,-43.01667,15300.0,231.35173926239318
1960,19.83333,54.08333,500.0,764.8880987290667
1960,32.4,-97.08333,1013.0,921.545594573512
1961,-37.75,140.3,2750.0,172.7594830552875
1961,-30.21667,126.21667,964.0,208.31574956830195
1961,26.66667,50.15,6.1,878.2943057230235
1961,32.68333,-102.61667,43900.0,887.7827524268494
1961,33.6,-96.46667,375.0,915.1428963501779
1961,44.07694,-88.56278,144.8,1218.1244278773822
1962,-39.06667,146.35,179.0,161.26375146670864
1962,-29.85,140.7,6800.0,205.0840879634304
1962,-20.81,-49.38056,927.0,216.64569842406013
1962,12.5,0.7,8800.0,552.1262523003493
1962,25.73333,73.61667,25400.0,842.7201785026868
1962,41.11667,-89.80833,1214.5,1081.1591637631493
1963,34.3,-103.13333,41300.0,855.994881273707
1963,36.15,-101.05,11875.0,900.9449839094286
1963,37.2,-103.58333,5386.0,924.1410667962277
1963,38.5,-105.5,6647.0,954.8241497791923
1963,66.8,28.45,7000.0,2306.9328213262124
1964,-83.25,-55.0,1070.0,37.15654433321802
1964,24.2,113.4,3000000.0,777.2897771573794
1964,26.13333,85.53333,1245.0,796.3035447409261
1964,29.6,103.7,344.0,888.7448716089395
1964,31.33333,121.66667,27900.0,947.0848854530817
1964,34.5,-116.95,2.0,816.1820644773626
1964,39.22167,-102.59,121.0,938.3164227430485
1964,40.6,-97.86667,7600.0,977.8041163887801
1964,42.9,2.25,9000.0,1146.0631674337715
1965,-32.05,126.16667,2515.0,169.29190207337254
1965,29.975,-97.86667,7780.0,708.8002723819604
1965,33.11667,-101.38333,2000.0,767.8695073139769
1965,38.44,-98.06667,11700.0,887.3907611564047
1966,-30.85,122.31667,37850.0,167.3752876351609
1966,34.67167,-101.815,3500.0,768.972634263542
1966,49.25,-111.86667,3540.0,1121.5965194262646
1967,-33.31667,144.78333,32383.0,153.9703881688371
1967,-31.53333,127.01667,1443.0,158.69030723083299
1967,-31.46667,126.93333,4002.0,158.96003037510184
1967,-29.43333,-50.91667,305000.0,140.95437422035187
1967,-6.23333,-40.7,2000.0,264.3604037681244
1967,19.38333,43.73333,2500.0,567.583535790968
1967,28.11667,0.53333,107000.0,686.3056146262701
1967,38.38333,-98.01667,4400.0,818.8654858998876
1968,-30.15,140.98333,1638.0,160.44276472573983
1968,33.58333,-102.16667,3273.0,690.1218337236402
1968,33.78333,-103.56667,462.0,692.8518453089883
1968,34.08333,-103.61667,34.2,698.3633125746373
1968,34.08333,-103.5,141.1,698.4428582881577
1968,39.695,-102.295,7400.0,811.7042459651512
1968,42.86083,-73.95028,283.3,907.6913716677716
1968,64.45,27.56667,164.0,1778.0717772422984
1969,-71.5,35.66667,10.0,45.75089118829571
1969,-71.5,35.66667,25.0,45.75089118829571
1969,-71.5,35.66667,150.0,45.75089118829571
1969,-36.61667,145.2,100000.0,130.27005572712608
1969,-32.91667,141.88333,172.0,143.34479675052955
1969,-30.76667,128.01667,238.4,149.76744032582096
1969,-30.5,128.1,608.9,150.85042263943873
1969,-30.05,128.93333,627.7,152.79942346591184
1969,33.63333,-103.16667,522.2,663.6495271504816
1969,34.08333,-103.51667,32.6,671.4042081701988
1969,34.08333,-103.5,24.8,671.4151351362012
1969,34.21667,-103.55,15.0,673.7656279875616
1969,48.7,37.5,600.0,1136.044919805092
1969,54.56667,-6.33333,5460.0,1272.0016344767937
1970,-31.51667,117.96667,786.0,139.70023485600672
1970,-30.9,128.08333,74.0,143.43900850782464
1970,11.05,-69.85,4590.0,361.5164428233936
1970,14.25,1.53333,3000.0,422.0837879934779
1970,34.53333,-101.7,1238.0,654.3460354580999
1970,34.8,-103.31667,5700.0,657.9605271418856
1970,66.8,178.2,10000.0,2025.8362604725517
1971,20.63333,-100.38333,5000.0,435.2411736721748
1971,34.08333,-103.5,13.1,620.4525300677507
1971,34.1,-103.48333,17.7,620.7375918785842
1971,34.21667,-103.35,29.4,622.7464759747343
1971,34.31833,-103.47167,45.5,624.3571888742506
1971,35.68,-101.99333,2860.0,648.3012089425996
1971,38.64167,-98.88333,23900.0,703.520799538894
1971,38.69667,-99.70833,2000.0,703.9825639532328
1972,-25.5,-54.5,7000.0,127.93965276213035
1972,9.31667,-70.62833,50000.0,318.73736533153766
1972,33.70833,-103.76667,453.0,590.3692229682233
1972,34.655,-101.64,2160.0,606.6712795913094
1972,34.86667,-98.95,5200.0,611.6986073992759
1972,37.30833,-97.545,38400.0,653.605957839526
1972,45.7,43.7,4239.0,937.6107716336784
1973,-71.5,35.66667,20.3,38.93290035490298
1973,-71.5,35.66667,480.0,38.93290035490298
1973,-30.66667,126.4,2.7,127.91887402978577
1973,33.48472,-117.6625,56.0,556.5502658559611
1973,34.21667,-103.28333,7.7,575.509954914372
1973,38.47028,-105.24139,1400.0,643.165389245868
1974,-71.84861,36.31806,34.7,37.06049310738469
1974,-71.83667,36.30417,2059.5,37.072038357662436
